rank,symbol,strategy,variant,timeframe,trades,win_rate,net_profit,return_percent,cost_10bps_net_profit,cost_10bps_return_percent,profit_factor,cost_10bps_profit_factor,expectancy_r,max_drawdown,max_loss_streak,top3_profit_percent,volume_filter,score
245,XRPUSDT,range_expansion_breakout,ch20_rng1.6_stop1.7_target2_hold32_all_volume>1.4xSMA30,1h,60,51.67,3889.58,38.90,3368.19,33.68,2.14,1.92,0.560,-609.96,4,20.80,volume>1.4xSMA30,55.21
246,XRPUSDT,range_expansion_breakout,ch20_rng1.6_stop1.7_target2_hold16_all_none,1h,65,53.85,4020.25,40.20,3433.68,34.34,2.12,1.89,0.531,-620.21,4,20.24,none,55.15
247,BNBUSDT,atr_squeeze_continuation,ch20_cmp1_stop0.8_target3.5_hold24_short_only_none,1h,41,46.34,5151.65,51.52,3985.75,39.86,2.83,2.14,1.043,-632.52,5,29.22,none,54.76
248,WIFUSDT,liquidity_reclaim_reversal,sweep12_rsi14_stop0.5_target3_hold8_short_only_none,1h,142,44.37,6473.18,64.73,4557.41,45.57,1.68,1.43,0.365,-676.09,4,21.81,none,54.59
249,PEPEUSDT,range_expansion_breakout,ch20_rng0.9_stop0.7_target2_hold16_long_only_volume>1.4xSMA30,1h,54,59.26,4855.23,48.55,3991.32,39.91,2.59,2.17,0.746,-1010.73,5,17.94,volume>1.4xSMA30,54.55
250,WIFUSDT,liquidity_reclaim_reversal,sweep12_rsi14_stop0.5_target2_hold8_short_only_none,1h,143,48.25,6366.56,63.67,4439.45,44.39,1.73,1.45,0.355,-583.59,4,14.97,none,54.24
251,WIFUSDT,liquidity_reclaim_reversal,sweep12_rsi14_stop0.8_target3_hold8_short_only_volume>1.5xSMA30,1h,55,56.36,3549.41,35.49,3149.93,31.50,2.76,2.44,0.564,-521.12,5,31.64,volume>1.5xSMA30,54.18
252,PEPEUSDT,range_expansion_breakout,ch20_rng0.9_stop1.7_target3_hold8_long_only_none,1h,41,56.10,3532.66,35.33,3258.84,32.59,2.65,2.44,0.755,-987.08,5,33.50,none,54.08
253,WIFUSDT,liquidity_reclaim_reversal,sweep48_rsi14_stop0.5_target3_hold8_short_only_none,1h,66,46.97,4077.07,40.77,3340.10,33.40,2.19,1.87,0.533,-484.54,4,29.25,none,53.93
254,XRPUSDT,range_expansion_breakout,ch20_rng1.1_stop1.7_target3_hold32_all_none,1h,77,40.26,4662.57,46.63,3952.98,39.53,1.84,1.66,0.515,-915.08,4,26.87,none,53.85
255,SOLUSDT,range_expansion_breakout,ch20_rng1.35_stop1.7_target2.5_hold64_short_only_none,1h,39,51.28,3656.90,36.57,3364.73,33.65,2.56,2.34,0.817,-658.56,5,27.14,none,53.59
256,XRPUSDT,range_expansion_breakout,ch20_rng1.35_stop1_target3_hold32_all_none,1h,91,39.56,6675.38,66.75,5188.52,51.89,1.91,1.63,0.582,-853.25,5,21.48,none,53.57
257,XRPUSDT,range_expansion_breakout,ch20_rng1.35_stop1_target3_hold64_all_none,1h,91,39.56,6675.38,66.75,5188.52,51.89,1.91,1.63,0.582,-853.25,5,21.48,none,53.57
258,PEPEUSDT,range_expansion_breakout,ch20_rng1.1_stop1.7_target2_hold16_all_none,1h,82,52.44,4100.46,41.00,3622.26,36.22,1.90,1.76,0.429,-819.12,4,19.94,none,53.09
259,WIFUSDT,liquidity_reclaim_reversal,sweep48_rsi14_stop0.5_target3_hold32_short_only_none,1h,66,45.45,4312.09,43.12,3557.70,35.58,2.01,1.76,0.561,-565.49,4,28.74,none,53.08
260,WIFUSDT,liquidity_reclaim_reversal,sweep48_rsi14_stop0.5_target2.5_hold32_short_only_none,1h,66,48.48,4242.83,42.43,3489.25,34.89,2.06,1.79,0.551,-637.82,4,24.54,none,53.07
261,PEPEUSDT,range_expansion_breakout,ch20_rng1.35_stop1.7_target2.5_hold64_long_only_volume>1.4xSMA30,1h,34,52.94,3279.84,32.80,3068.63,30.69,2.62,2.44,0.853,-641.94,5,29.45,volume>1.4xSMA30,53.06
262,SOLUSDT,range_expansion_breakout,ch20_rng1.1_stop1.7_target2.5_hold64_short_only_none,1h,44,50.00,3922.12,39.22,3592.54,35.93,2.43,2.23,0.770,-651.97,5,25.86,none,52.97
263,PEPEUSDT,range_expansion_breakout,ch20_rng1.1_stop1.3_target2_hold8_long_only_volume>1.4xSMA30,1h,43,62.79,3444.48,34.44,3099.06,30.99,2.69,2.43,0.700,-998.01,5,23.16,volume>1.4xSMA30,52.18
264,PEPEUSDT,range_expansion_breakout,ch20_rng0.9_stop1.7_target2.5_hold16_long_only_none,1h,42,54.76,3495.21,34.95,3218.76,32.19,2.57,2.36,0.729,-811.79,5,28.34,none,52.14
265,XRPUSDT,atr_squeeze_continuation,ch20_cmp1_stop1.1_target3.5_hold48_all_volume>1.25xSMA30,1h,55,38.18,4372.44,43.72,3560.62,35.61,1.98,1.72,0.685,-589.56,4,34.23,volume>1.25xSMA30,52.07
266,WIFUSDT,liquidity_reclaim_reversal,sweep24_rsi14_stop0.8_target3_hold32_short_only_none,1h,98,43.88,6071.30,60.71,5000.50,50.00,1.85,1.64,0.501,-968.26,5,23.39,none,51.67
267,SOLUSDT,range_expansion_breakout,ch20_rng1.1_stop1.7_target3_hold32_short_only_none,1h,44,50.00,3989.73,39.90,3650.58,36.51,2.39,2.19,0.783,-1114.07,5,30.89,none,51.58
268,WIFUSDT,liquidity_reclaim_reversal,sweep48_rsi14_stop0.5_target2_hold64_short_only_none,1h,66,51.52,4011.58,40.12,3278.14,32.78,2.08,1.80,0.523,-588.96,4,20.30,none,51.42
269,XRPUSDT,range_expansion_breakout,ch20_rng1.1_stop1.7_target2.5_hold32_all_none,1h,83,43.37,4471.62,44.72,3722.56,37.23,1.80,1.62,0.460,-578.31,4,23.27,none,51.24
270,PEPEUSDT,range_expansion_breakout,ch12_rng1.35_stop1_target2_hold8_long_only_none,1h,53,58.49,4192.32,41.92,3625.03,36.25,2.43,2.14,0.673,-809.38,5,19.87,none,50.84
271,WIFUSDT,liquidity_reclaim_reversal,sweep24_rsi14_stop0.8_target2.5_hold64_short_only_none,1h,96,43.75,6003.33,60.03,4929.08,49.29,1.84,1.63,0.506,-942.08,5,19.87,none,50.73
272,WIFUSDT,liquidity_reclaim_reversal,sweep48_rsi14_stop0.5_target2.5_hold8_short_only_none,1h,66,48.48,3798.93,37.99,3073.00,30.73,2.17,1.84,0.501,-474.88,4,26.17,none,50.65
273,WIFUSDT,liquidity_reclaim_reversal,sweep24_rsi14_stop0.5_target2_hold8_short_only_none,1h,102,50.00,4881.73,48.82,3688.95,36.89,1.90,1.61,0.400,-674.66,4,17.80,none,50.52
274,WIFUSDT,liquidity_reclaim_reversal,sweep12_rsi14_stop0.5_target2.5_hold8_short_only_none,1h,142,45.07,6102.50,61.02,4201.75,42.02,1.66,1.40,0.347,-665.86,4,19.15,none,50.46
275,WIFUSDT,atr_squeeze_continuation,ch80_cmp1_stop1.1_target3.5_hold24_all_none,1h,37,43.24,3850.09,38.50,3491.04,34.91,2.40,2.19,0.908,-867.29,5,36.84,none,50.38
276,WIFUSDT,liquidity_reclaim_reversal,sweep24_rsi14_stop0.8_target2_hold32_short_only_none,1h,100,51.00,5822.26,58.22,4740.69,47.41,1.93,1.70,0.470,-1100.35,5,16.11,none,50.06
277,SOLUSDT,range_expansion_breakout,ch20_rng1.1_stop1.7_target2.5_hold32_short_only_none,1h,44,52.27,3701.70,37.02,3372.83,33.73,2.41,2.21,0.732,-848.60,5,27.10,none,49.83
278,PEPEUSDT,range_expansion_breakout,ch20_rng0.9_stop0.7_target2_hold32_long_only_volume>1.4xSMA30,1h,54,57.41,4662.73,46.63,3800.87,38.01,2.47,2.06,0.722,-1147.60,5,18.53,volume>1.4xSMA30,49.76
279,PEPEUSDT,range_expansion_breakout,ch20_rng0.9_stop0.7_target2_hold64_long_only_volume>1.4xSMA30,1h,54,57.41,4662.73,46.63,3800.87,38.01,2.47,2.06,0.722,-1147.60,5,18.53,volume>1.4xSMA30,49.76
280,WIFUSDT,liquidity_reclaim_reversal,sweep12_rsi14_stop0.5_target2_hold16_short_only_none,1h,141,48.23,6068.61,60.69,4164.61,41.65,1.65,1.40,0.347,-824.27,4,15.53,none,49.59
281,SOLUSDT,range_expansion_breakout,ch20_rng1.1_stop1.7_target3_hold64_short_only_none,1h,44,45.45,4005.17,40.05,3666.04,36.66,2.28,2.10,0.787,-1031.69,5,30.94,none,49.57
282,WIFUSDT,liquidity_reclaim_reversal,sweep12_rsi14_stop0.8_target1.5_hold8_all_volume>1.5xSMA30,1h,97,56.70,3892.13,38.92,3194.47,31.94,2.00,1.76,0.346,-615.60,4,15.69,volume>1.5xSMA30,49.46
283,WIFUSDT,liquidity_reclaim_reversal,sweep24_rsi14_stop0.5_target2_hold32_short_only_none,1h,102,50.98,5977.32,59.77,4711.91,47.12,1.96,1.68,0.471,-1111.13,5,15.84,none,49.44
284,XRPUSDT,range_expansion_breakout,ch20_rng1.6_stop1_target3_hold32_all_none,1h,70,41.43,5607.11,56.07,4492.66,44.93,2.02,1.74,0.657,-791.88,5,24.43,none,49.43
285,XRPUSDT,range_expansion_breakout,ch20_rng1.6_stop1_target3_hold64_all_none,1h,70,41.43,5607.11,56.07,4492.66,44.93,2.02,1.74,0.657,-791.88,5,24.43,none,49.43
286,WIFUSDT,liquidity_reclaim_reversal,sweep48_rsi14_stop0.8_target2_hold64_short_only_none,1h,65,50.77,3736.84,37.37,3121.47,31.21,2.01,1.78,0.501,-577.41,4,21.37,none,49.30
287,PEPEUSDT,range_expansion_breakout,ch12_rng1.35_stop1_target2_hold16_long_only_none,1h,53,56.60,4122.93,41.23,3562.44,35.62,2.38,2.10,0.664,-798.18,5,20.16,none,49.12
288,XRPUSDT,range_expansion_breakout,ch20_rng1.1_stop1.7_target2.5_hold64_all_none,1h,82,42.68,4299.45,42.99,3555.48,35.55,1.75,1.58,0.451,-575.16,4,24.15,none,48.59
289,PEPEUSDT,range_expansion_breakout,ch20_rng0.9_stop1.3_target1.5_hold16_long_only_none,1h,55,63.64,3589.15,35.89,3150.31,31.50,2.47,2.21,0.566,-650.19,5,16.71,none,48.01
290,PEPEUSDT,range_expansion_breakout,ch20_rng1.35_stop1_target3_hold16_all_none,1h,78,42.31,5208.56,52.09,4430.54,44.31,1.90,1.71,0.557,-827.45,5,24.53,none,47.94
291,PEPEUSDT,range_expansion_breakout,ch20_rng1.1_stop1.3_target2.5_hold16_all_none,1h,84,47.62,4969.01,49.69,4310.68,43.11,1.92,1.75,0.494,-832.53,5,21.58,none,47.70
292,XRPUSDT,range_expansion_breakout,ch20_rng1.35_stop1_target3_hold16_all_none,1h,91,39.56,6230.92,62.31,4751.93,47.52,1.85,1.58,0.552,-1054.95,5,22.40,none,47.44
293,PEPEUSDT,range_expansion_breakout,ch20_rng1.1_stop1.7_target2_hold8_all_none,1h,84,54.76,3699.15,36.99,3212.57,32.13,1.83,1.69,0.384,-925.98,4,21.56,none,46.95
294,XRPUSDT,range_expansion_breakout,ch20_rng0.9_stop1.7_target3_hold64_all_none,1h,79,40.51,5215.27,52.15,4448.06,44.48,1.85,1.68,0.551,-1115.57,5,25.18,none,46.61
295,WIFUSDT,atr_squeeze_continuation,ch80_cmp1_stop1.1_target3.5_hold12_all_none,1h,38,50.00,3434.98,34.35,3072.62,30.73,2.42,2.18,0.801,-641.52,5,39.94,none,46.61
296,XRPUSDT,range_expansion_breakout,ch20_rng1.35_stop1.7_target2_hold64_all_none,1h,80,50.00,4859.69,48.60,4119.64,41.20,1.97,1.77,0.507,-788.55,5,17.89,none,46.41
297,BNBUSDT,atr_squeeze_continuation,ch20_cmp1_stop0.8_target2.5_hold12_short_only_none,1h,46,52.17,4648.75,46.49,3367.24,33.67,2.81,2.05,0.848,-609.97,5,22.65,none,46.33
298,WIFUSDT,liquidity_reclaim_reversal,sweep12_rsi14_stop0.8_target2.5_hold8_all_volume>1.5xSMA30,1h,92,52.17,3673.70,36.74,3048.32,30.48,1.93,1.72,0.350,-870.05,4,26.80,volume>1.5xSMA30,46.31
299,PEPEUSDT,range_expansion_breakout,ch20_rng1.35_stop1_target2.5_hold16_all_none,1h,79,45.57,4906.01,49.06,4150.61,41.51,1.93,1.73,0.521,-675.11,5,21.69,none,46.08
300,WIFUSDT,liquidity_reclaim_reversal,sweep24_rsi14_stop0.8_target2_hold8_short_only_none,1h,101,51.49,4324.43,43.24,3309.92,33.10,1.83,1.58,0.365,-649.40,4,19.34,none,46.01
301,PEPEUSDT,range_expansion_breakout,ch20_rng1.35_stop1.3_target2.5_hold16_all_none,1h,74,47.30,4479.79,44.80,3928.41,39.28,1.98,1.81,0.515,-601.00,5,22.92,none,45.94
302,XRPUSDT,range_expansion_breakout,ch20_rng1.6_stop1.3_target2.5_hold32_all_none,1h,67,43.28,3967.85,39.68,3183.42,31.83,1.83,1.61,0.515,-615.60,4,26.04,none,45.66
303,XRPUSDT,range_expansion_breakout,ch20_rng1.6_stop1.3_target2.5_hold64_all_none,1h,67,43.28,3967.85,39.68,3183.42,31.83,1.83,1.61,0.515,-615.60,4,26.04,none,45.66
304,PEPEUSDT,range_expansion_breakout,ch20_rng0.9_stop1.3_target2_hold8_long_only_none,1h,52,59.62,3671.19,36.71,3231.72,32.32,2.33,2.10,0.613,-897.61,5,22.13,none,45.52
305,XRPUSDT,range_expansion_breakout,ch20_rng1.35_stop1.3_target3_hold64_all_none,1h,80,38.75,5278.42,52.78,4323.52,43.24,1.86,1.65,0.550,-789.20,5,25.06,none,45.46
306,PEPEUSDT,range_expansion_breakout,ch20_rng0.9_stop0.7_target2_hold8_long_only_none,1h,64,54.69,4753.41,47.53,3756.77,37.57,2.23,1.87,0.620,-842.31,5,18.08,none,45.20
307,PEPEUSDT,range_expansion_breakout,ch12_rng1.35_stop1_target2_hold32_long_only_none,1h,53,54.72,3952.42,39.52,3393.15,33.93,2.27,2.00,0.642,-798.18,5,20.77,none,45.06
308,PEPEUSDT,range_expansion_breakout,ch12_rng1.35_stop1_target2_hold64_long_only_none,1h,53,54.72,3952.42,39.52,3393.15,33.93,2.27,2.00,0.642,-798.18,5,20.77,none,45.06
309,XRPUSDT,range_expansion_breakout,ch20_rng0.9_stop1.7_target2_hold32_all_none,1h,103,47.57,5374.38,53.74,4417.91,44.18,1.77,1.59,0.429,-804.90,5,16.67,none,44.91
310,SOLUSDT,range_expansion_breakout,ch20_rng0.9_stop1.7_target3_hold32_short_only_none,1h,47,46.81,3813.56,38.14,3452.18,34.52,2.17,2.00,0.707,-1111.15,5,32.23,none,44.77
311,PEPEUSDT,range_expansion_breakout,ch20_rng1.1_stop1_target3_hold16_all_none,1h,88,40.91,5308.35,53.08,4408.47,44.08,1.78,1.60,0.502,-1010.72,5,24.48,none,44.59
312,XRPUSDT,range_expansion_breakout,ch20_rng1.35_stop1.7_target2_hold32_all_none,1h,81,49.38,4713.39,47.13,3975.56,39.76,1.95,1.75,0.489,-777.61,5,18.19,none,44.47
313,SOLUSDT,atr_squeeze_continuation,ch20_cmp1_stop0.8_target2.5_hold24_short_only_none,1h,56,48.21,4553.42,45.53,3562.36,35.62,2.31,1.89,0.688,-554.02,5,22.82,none,44.40
314,SOLUSDT,atr_squeeze_continuation,ch20_cmp1_stop0.8_target2.5_hold48_short_only_none,1h,56,48.21,4553.42,45.53,3562.36,35.62,2.31,1.89,0.688,-554.02,5,22.82,none,44.40
315,SOLUSDT,atr_squeeze_continuation,ch20_cmp1_stop0.8_target2.5_hold96_short_only_none,1h,56,48.21,4553.42,45.53,3562.36,35.62,2.31,1.89,0.688,-554.02,5,22.82,none,44.40
316,PEPEUSDT,range_expansion_breakout,ch20_rng0.9_stop0.7_target2_hold16_long_only_none,1h,64,54.69,4693.53,46.94,3697.54,36.98,2.22,1.86,0.614,-842.31,5,18.24,none,44.28
317,PEPEUSDT,range_expansion_breakout,ch20_rng1.1_stop1_target3_hold8_all_none,1h,88,44.32,5195.55,51.96,4294.49,42.94,1.81,1.62,0.493,-937.99,5,24.81,none,44.15
318,PEPEUSDT,range_expansion_breakout,ch20_rng1.1_stop1.3_target2_hold64_long_only_none,1h,47,55.32,3550.13,35.50,3163.90,31.64,2.30,2.09,0.660,-1075.00,5,22.64,none,44.11
319,PEPEUSDT,range_expansion_breakout,ch20_rng1.1_stop1.3_target2.5_hold32_all_none,1h,82,43.90,4802.12,48.02,4163.40,41.63,1.80,1.66,0.494,-849.34,5,22.31,none,43.89
320,PEPEUSDT,range_expansion_breakout,ch20_rng1.35_stop1.3_target2.5_hold8_all_none,1h,75,48.00,3548.07,35.48,3005.08,30.05,1.79,1.63,0.418,-753.18,4,27.19,none,43.87
321,PEPEUSDT,range_expansion_breakout,ch20_rng0.9_stop1.3_target2.5_hold16_all_none,1h,91,46.15,4956.05,49.56,4224.13,42.24,1.80,1.64,0.456,-925.10,5,21.69,none,43.86
322,XRPUSDT,range_expansion_breakout,ch20_rng1.6_stop1_target3_hold16_all_none,1h,70,41.43,5191.12,51.91,4083.14,40.83,1.95,1.68,0.618,-791.88,5,25.78,none,43.76
323,PEPEUSDT,range_expansion_breakout,ch20_rng1.1_stop1_target2.5_hold8_all_none,1h,89,47.19,5011.86,50.12,4147.98,41.48,1.87,1.67,0.471,-959.09,5,21.53,none,43.75
324,XRPUSDT,atr_squeeze_continuation,ch20_cmp1_stop1.1_target3.5_hold24_all_volume>1.25xSMA30,1h,55,40.00,3825.04,38.25,3016.28,30.16,1.89,1.63,0.612,-899.33,4,38.02,volume>1.25xSMA30,43.72
325,SOLUSDT,atr_squeeze_continuation,ch20_cmp1_stop0.8_target2.5_hold12_short_only_none,1h,56,50.00,4459.59,44.60,3467.24,34.67,2.32,1.89,0.675,-554.02,5,23.15,none,43.61
