rank,symbol,strategy,variant,timeframe,trades,win_rate,net_profit,return_percent,cost_10bps_net_profit,cost_10bps_return_percent,profit_factor,cost_10bps_profit_factor,expectancy_r,max_drawdown,max_loss_streak,top3_profit_percent,volume_filter,score
112,WIFUSDT,atr_squeeze_continuation,ch55_cmp0.7_stop1.5_target2.5_hold24_all_none,1h,10,80.00,1634.98,16.35,1564.85,15.65,8.15,7.43,1.535,-114.66,1,50.99,none,156.20
113,BNBUSDT,atr_squeeze_continuation,ch55_cmp0.85_stop2_target3.5_hold24_short_only_volume>1.25xSMA30,1h,9,77.78,1358.47,13.58,1251.02,12.51,10.08,7.80,1.438,-110.70,1,75.92,volume>1.25xSMA30,155.96
114,BNBUSDT,atr_squeeze_continuation,ch20_cmp0.85_stop0.8_target2_hold12_short_only_volume>1.25xSMA30,1h,8,87.50,1371.99,13.72,1094.08,10.94,14.72,7.74,1.625,-100.00,1,47.81,volume>1.25xSMA30,155.17
115,BNBUSDT,atr_squeeze_continuation,ch20_cmp0.85_stop0.8_target2_hold24_short_only_volume>1.25xSMA30,1h,8,87.50,1371.99,13.72,1094.08,10.94,14.72,7.74,1.625,-100.00,1,47.81,volume>1.25xSMA30,155.17
116,BNBUSDT,atr_squeeze_continuation,ch20_cmp0.85_stop0.8_target2_hold48_short_only_volume>1.25xSMA30,1h,8,87.50,1371.99,13.72,1094.08,10.94,14.72,7.74,1.625,-100.00,1,47.81,volume>1.25xSMA30,155.17
117,BNBUSDT,atr_squeeze_continuation,ch20_cmp0.85_stop0.8_target2_hold96_short_only_volume>1.25xSMA30,1h,8,87.50,1371.99,13.72,1094.08,10.94,14.72,7.74,1.625,-100.00,1,47.81,volume>1.25xSMA30,155.17
118,WIFUSDT,atr_squeeze_continuation,ch36_cmp0.7_stop0.8_target3.5_hold12_all_none,1h,8,75.00,1809.92,18.10,1701.66,17.02,8.81,7.49,2.119,-231.68,2,64.83,none,154.77
119,BNBUSDT,atr_squeeze_continuation,ch20_cmp0.85_stop2_target1.5_hold48_short_only_volume>1.25xSMA30,1h,8,87.50,987.46,9.87,875.97,8.76,10.03,7.70,1.188,-109.34,1,48.93,volume>1.25xSMA30,151.92
120,BNBUSDT,atr_squeeze_continuation,ch20_cmp0.85_stop2_target1.5_hold96_short_only_volume>1.25xSMA30,1h,8,87.50,987.46,9.87,875.97,8.76,10.03,7.70,1.188,-109.34,1,48.93,volume>1.25xSMA30,151.92
121,WIFUSDT,atr_squeeze_continuation,ch36_cmp0.7_stop2_target1.5_hold12_all_none,1h,8,87.50,798.58,7.99,757.49,7.57,8.43,7.67,0.968,-107.46,1,59.20,none,149.96
122,WIFUSDT,atr_squeeze_continuation,ch55_cmp0.7_stop1.5_target3.5_hold24_all_none,1h,9,77.78,1619.41,16.19,1556.54,15.57,7.98,7.31,1.698,-116.29,1,70.08,none,148.98
