rank,symbol,strategy,variant,timeframe,trades,win_rate,net_profit,return_percent,cost_10bps_net_profit,cost_10bps_return_percent,profit_factor,cost_10bps_profit_factor,expectancy_r,max_drawdown,max_loss_streak,top3_profit_percent,volume_filter,score
485,XRPUSDT,range_expansion_breakout,ch20_rng1.6_stop1.7_target1.5_hold64_all_none,1h,70,55.71,3166.24,31.66,2553.00,25.53,1.84,1.63,0.401,-511.20,4,18.43,none,40.09
486,WIFUSDT,liquidity_reclaim_reversal,sweep24_rsi14_stop1.1_target1.5_hold64_short_only_none,1h,93,53.76,3556.58,35.57,2816.45,28.16,1.70,1.52,0.335,-472.35,4,16.86,none,40.02
487,PEPEUSDT,range_expansion_breakout,ch20_rng1.35_stop1.3_target2_hold64_long_only_none,1h,42,54.76,3027.85,30.28,2703.56,27.04,2.28,2.08,0.643,-771.07,5,25.26,none,39.98
488,XRPUSDT,range_expansion_breakout,ch20_rng0.9_stop1.7_target2_hold64_all_none,1h,103,46.60,4974.04,49.74,4038.42,40.38,1.71,1.54,0.404,-787.14,5,17.61,none,39.88
489,SOLUSDT,range_expansion_breakout,ch20_rng0.9_stop1.7_target3_hold64_short_only_none,1h,47,42.55,3589.20,35.89,3231.03,32.31,2.04,1.88,0.673,-1011.16,5,33.84,none,39.76
490,WIFUSDT,liquidity_reclaim_reversal,sweep24_rsi14_stop1.5_target2_hold64_short_only_none,1h,83,45.78,3308.99,33.09,2817.94,28.18,1.64,1.52,0.356,-565.08,4,23.49,none,39.70
491,XRPUSDT,range_expansion_breakout,ch20_rng1.35_stop1.7_target2_hold32_all_volume>1.4xSMA30,1h,73,49.32,4150.49,41.50,3511.96,35.12,1.94,1.75,0.488,-884.92,5,19.86,volume>1.4xSMA30,39.57
492,PEPEUSDT,range_expansion_breakout,ch20_rng1.35_stop1.3_target3_hold16_all_none,1h,69,43.48,4002.77,40.03,3480.44,34.80,1.88,1.72,0.505,-607.86,5,30.22,none,39.30
493,PEPEUSDT,range_expansion_breakout,ch20_rng1.1_stop0.7_target2_hold8_all_none,1h,101,48.51,5449.14,54.49,3976.68,39.77,1.81,1.53,0.443,-736.74,5,16.46,none,39.24
494,SOLUSDT,atr_squeeze_continuation,ch20_cmp1_stop0.8_target3.5_hold12_short_only_none,1h,52,42.31,4148.50,41.48,3247.56,32.48,2.18,1.80,0.691,-539.59,5,33.66,none,39.23
495,PEPEUSDT,range_expansion_breakout,ch20_rng0.9_stop1.3_target3_hold16_all_none,1h,84,42.86,4533.25,45.33,3847.08,38.47,1.75,1.60,0.461,-930.89,5,27.89,none,39.09
496,WIFUSDT,liquidity_reclaim_reversal,sweep12_rsi14_stop1.1_target1.25_hold64_all_volume>1.5xSMA30,1h,93,58.06,3216.13,32.16,2627.12,26.27,1.72,1.56,0.306,-506.72,4,15.13,volume>1.5xSMA30,39.02
497,SOLUSDT,range_expansion_breakout,ch20_rng0.9_stop1.7_target2.5_hold32_short_only_none,1h,47,48.94,3294.75,32.95,2948.25,29.48,2.12,1.94,0.622,-831.71,5,29.84,none,38.97
498,XRPUSDT,range_expansion_breakout,ch20_rng1.35_stop1.7_target3_hold32_all_volume>1.4xSMA30,1h,62,41.94,3962.16,39.62,3406.46,34.06,1.93,1.75,0.557,-805.59,5,29.70,volume>1.4xSMA30,38.81
499,PEPEUSDT,range_expansion_breakout,ch12_rng1.35_stop1.3_target2_hold16_long_only_none,1h,49,55.10,3251.00,32.51,2855.12,28.55,2.19,1.98,0.586,-918.62,5,24.43,none,38.69
500,PEPEUSDT,range_expansion_breakout,ch20_rng1.35_stop1.3_target2.5_hold32_all_none,1h,73,43.84,4101.09,41.01,3564.62,35.65,1.81,1.66,0.486,-641.98,5,24.63,none,38.65
501,XRPUSDT,range_expansion_breakout,ch20_rng1.6_stop1.7_target1.5_hold16_all_none,1h,71,54.93,3049.00,30.49,2432.34,24.32,1.84,1.62,0.383,-539.68,4,18.78,none,38.52
502,WIFUSDT,liquidity_reclaim_reversal,sweep24_rsi14_stop1.1_target3_hold32_short_only_none,1h,93,44.09,4647.17,46.47,3864.31,38.64,1.72,1.56,0.426,-865.37,5,27.58,none,38.47
503,PEPEUSDT,range_expansion_breakout,ch20_rng1.1_stop1.7_target2.5_hold8_all_none,1h,77,51.95,3041.13,30.41,2605.81,26.06,1.72,1.59,0.356,-890.52,4,31.23,none,38.46
504,PEPEUSDT,range_expansion_breakout,ch20_rng1.1_stop0.7_target2_hold16_all_none,1h,101,48.51,5386.44,53.86,3915.51,39.16,1.80,1.52,0.439,-736.74,5,16.59,none,38.44
505,WIFUSDT,liquidity_reclaim_reversal,sweep48_rsi14_stop0.8_target3_hold32_short_only_none,1h,63,42.86,3097.59,30.98,2520.00,25.20,1.78,1.58,0.445,-556.25,4,36.61,none,38.32
506,BNBUSDT,atr_squeeze_continuation,ch20_cmp1_stop1.1_target3.5_hold48_short_only_none,1h,36,41.67,3565.77,35.66,2836.70,28.37,2.40,1.95,0.875,-679.71,5,37.80,none,38.29
507,BNBUSDT,atr_squeeze_continuation,ch20_cmp1_stop1.1_target3.5_hold96_short_only_none,1h,36,41.67,3565.77,35.66,2836.70,28.37,2.40,1.95,0.875,-679.71,5,37.80,none,38.29
508,XRPUSDT,range_expansion_breakout,ch20_rng0.9_stop1.7_target2.5_hold64_all_none,1h,90,42.22,4644.24,46.44,3821.75,38.22,1.71,1.55,0.439,-692.45,5,22.90,none,38.17
509,SOLUSDT,range_expansion_breakout,ch20_rng1.1_stop1.7_target2.5_hold64_short_only_volume>1.4xSMA30,1h,40,47.50,3058.66,30.59,2761.84,27.62,2.19,2.01,0.684,-1064.76,5,31.79,volume>1.4xSMA30,38.15
510,SOLUSDT,range_expansion_breakout,ch20_rng0.9_stop1.7_target2.5_hold64_short_only_volume>1.4xSMA30,1h,40,47.50,3058.66,30.59,2761.67,27.62,2.19,2.01,0.684,-1064.76,5,31.79,volume>1.4xSMA30,38.15
